SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-9-2019,Condo/Co-op,815 Tennessee St #405,San Francisco,CA,94107,1565000,2,2.0,Central Waterfront,,,2018,128,,745,Sold,,,http://www.redfin.com/CA/San-Francisco/815-Tennessee-St-94107/unit-405/home/146096961,San Francisco MLS,477174,N,Y,37.7614764,-122.3892934
PAST SALE,June-15-2017,Condo/Co-op,2790 19th Ave #2,San Francisco,CA,94132,915000,2,2.0,West Portal,1240,,1979,701,738,754,Sold,,,http://www.redfin.com/CA/San-Francisco/2790-19th-Ave-94132/unit-2/home/22088756,San Francisco MLS,459546,N,Y,37.7360172,-122.4740531
PAST SALE,May-3-2019,Condo/Co-op,2414 Funston Ave,San Francisco,CA,94116,1325000,2,1.0,West Portal,1204,,1940,14,1100,350,Sold,,,http://www.redfin.com/CA/San-Francisco/2414-Funston-Ave-94116/home/28896715,San Francisco MLS,482541,N,Y,37.7430049,-122.468909
PAST SALE,March-2-2018,Condo/Co-op,1467 Dolores St,San Francisco,CA,94110,1751000,2,1.0,Noe Valley,1497,,1924,441,1170,185,Sold,,,http://www.redfin.com/CA/San-Francisco/1467-Dolores-St-94110/home/39933041,San Francisco MLS,466347,N,Y,37.7459859,-122.424403
PAST SALE,,Condo/Co-op,5853 Mission St #4,San Francisco,CA,94112,588000,2,1.0,,,,1980,,,,,,,http://www.redfin.com/CA/San-Francisco/5853-Mission-St-94112/unit-4/home/2028084,,,N,Y,37.7088126,-122.451422
PAST SALE,March-14-2018,Condo/Co-op,767 Corbett Ave,San Francisco,CA,94131,1250000,2,2.5,Twin Peaks,1207,2274,2000,429,1036,485,Sold,,,http://www.redfin.com/CA/San-Francisco/767-Corbett-Ave-94131/unit-1/home/1047263,Bridge MLS,40808762,N,Y,37.7545496,-122.4421501
PAST SALE,November-20-2018,Condo/Co-op,290 Douglass St,San Francisco,CA,94114,1575290,2,2.0,Eureka Valley/Dolore,1164,,1916,178,1353,200,Sold,,,http://www.redfin.com/CA/San-Francisco/290-Douglass-St-94114/home/1895054,San Francisco MLS,477888,N,Y,37.7592035,-122.4393869
PAST SALE,June-21-2017,Condo/Co-op,1130 Shrader St #2,San Francisco,CA,94117,1250000,2,2.0,Parnassus/Ashbury Heights,1082,,1923,695,1155,306,Sold,,,http://www.redfin.com/CA/San-Francisco/1130-Shrader-St-94117/unit-2/home/109689326,San Francisco MLS,458656,N,Y,37.7642504,-122.4508437
PAST SALE,March-26-2019,Condo/Co-op,1169 Stanyan St,San Francisco,CA,94117,2300000,2,2.0,Parnassus/Ashbury Heights,1290,,,52,1783,350,Sold,,,http://www.redfin.com/CA/San-Francisco/1169-Stanyan-St-94117/home/147064174,San Francisco MLS,480261,N,Y,37.7628723,-122.4523703
PAST SALE,October-4-2018,Condo/Co-op,3354 Laguna St #2,San Francisco,CA,94123,1050000,2,1.0,Marina,,,1924,225,,323,Sold,,,http://www.redfin.com/CA/San-Francisco/3354-Laguna-St-94123/unit-2/home/12527939,San Francisco MLS,472235,N,Y,37.8022224,-122.4311415
PAST SALE,August-25-2017,Condo/Co-op,64 Cervantes Blvd,San Francisco,CA,94123,2000000,2,1.5,Marina,1595,,1925,630,1254,300,Sold,,,http://www.redfin.com/CA/San-Francisco/64-Cervantes-Blvd-94123/home/1642251,San Francisco MLS,460923,N,Y,37.803725,-122.438048
PAST SALE,June-25-2018,Condo/Co-op,784 Bay St,San Francisco,CA,94109,1815000,2,2.0,Russian Hill,1420,,,326,1278,200,Sold,,,http://www.redfin.com/CA/San-Francisco/784-Bay-St-94109/home/846868,San Francisco MLS,471108,N,Y,37.8049832,-122.4198512
PAST SALE,August-8-2018,Condo/Co-op,242 Mallorca Way,San Francisco,CA,94123,1610000,2,1.0,Marina,,,1925,282,,260,Sold,,,http://www.redfin.com/CA/San-Francisco/242-Mallorca-Way-94123/unit-3/home/556741,San Francisco MLS,472695,N,Y,37.8031217,-122.4388177
PAST SALE,April-20-2018,Condo/Co-op,1111 Bay St #302,San Francisco,CA,94123,1300000,2,2.0,Marina,1225,,1986,392,1061,600,Sold,,,http://www.redfin.com/CA/San-Francisco/1111-Bay-St-94123/unit-302/home/1392198,San Francisco MLS,466740,N,Y,37.803862,-122.4254976
PAST SALE,January-31-2019,Condo/Co-op,1080 Chestnut St Unit 4A,San Francisco,CA,94109,2900000,2,2.0,Russian Hill,1622,,1962,106,1788,1722,Sold,,,http://www.redfin.com/CA/San-Francisco/1080-Chestnut-St-94109/unit-4A/home/12400640,San Francisco MLS,474431,N,Y,37.803057,-122.4210212
PAST SALE,February-5-2019,Condo/Co-op,3235 Gough St #206,San Francisco,CA,94123,909000,2,1.0,Marina,878,,1927,101,1035,441,Sold,,,http://www.redfin.com/CA/San-Francisco/3235-Gough-St-94123/unit-206/home/40431683,San Francisco MLS,478120,N,Y,37.803246,-122.4286309
PAST SALE,April-16-2019,Condo/Co-op,757 North Point St #2,San Francisco,CA,94109,1810000,2,2.25,Russian Hill,1560,1742,1989,31,1160,600,Sold,,,http://www.redfin.com/CA/San-Francisco/757-N-Point-St-94109/unit-2/home/537916,San Francisco MLS,483097,N,Y,37.8055851,-122.4196229
PAST SALE,August-14-2018,Condo/Co-op,501 Beale St Unit 8D,San Francisco,CA,94105,1749000,2,2.0,South Beach,1259,,2006,276,1389,1063,Sold,,,http://www.redfin.com/CA/San-Francisco/501-Beale-St-94105/unit-00008D/home/12330833,San Francisco MLS,471364,N,Y,37.7860605,-122.3893157
PAST SALE,January-31-2019,Condo/Co-op,301 Crescent Ct #3103,San Francisco,CA,94134,810000,2,2.0,Candlestick Point,1042,,2007,106,777,502,Sold,,,http://www.redfin.com/CA/San-Francisco/301-Crescent-Ct-94134/unit-3103/home/12277915,San Francisco MLS,479517,N,Y,37.711177,-122.388087
PAST SALE,April-13-2018,Condo/Co-op,1919 Grant Ave,San Francisco,CA,94109,1775000,2,2.0,Telegraph Hill,,,1907,399,,400,Sold,,,http://www.redfin.com/CA/San-Francisco/1919-Grant-Ave-94133/home/104518609,San Francisco MLS,467513,N,Y,37.804673,-122.408612
PAST SALE,,Condo/Co-op,690 Chestnut St #404,San Francisco,CA,94133,1195000,2,1.0,,,,1997,,,,,,,http://www.redfin.com/CA/San-Francisco/690-Chestnut-St-94133/unit-404/home/1665626,,,N,Y,37.8038387,-122.414563
